country,Population,HighestInfectionCount,PercentPopulationInfected
Egypt,112618252,516023,0.4582054781
Guinea-Bissau,2105535,9614,0.4566060407
Cameroon,27632770,125317,0.4535086421
Togo,9089742,39553,0.4351388631
Malawi,20568731,89168,0.4335124029
Congo,6035104,25234,0.4181203837
Burundi,13321102,54569,0.4096432863
Ethiopia,125384285,501322,0.3998284155
Uganda,47312718,172217,0.363997266
Central African Republic,5098038,15486,0.3037639186
Haiti,11503603,34901,0.3033919025
Angola,35635028,107487,0.3016329888
Eritrea,3409450,10189,0.2988458549
Guinea,14055136,38593,0.2745828998
Low-income countries,716865809,1945038,0.2713252572
Syria,22462170,57423,0.2556431547
Nicaragua,6730662,16398,0.24363131
Madagascar,30437261,68713,0.225752902
Benin,13759507,28036,0.2037573003
Tajikistan,10182228,17786,0.1746768978
South Sudan,11021175,18873,0.1712430843
Somalia,17801895,27334,0.1535454512
Liberia,5373297,8090,0.1505593307
Mali,23072641,33197,0.1438803646
Sudan,49383344,63993,0.1295841772
Nigeria,223150906,267227,0.1197516984
Burkina Faso,22509038,22216,0.09869813183
Democratic Republic of Congo,102396974,101010,0.09864549318
Sierra Leone,8276809,7985,0.09647437799
Tanzania,64711822,43600,0.06737563347
Chad,18455319,7702,0.04173322607
Niger,25311978,9573,0.03782003919
Yemen,38222878,11945,0.03125091732
