country,Population,date,HighestInfectionCount,PercentPopulationInfected
India,1425423209,2020-05-07,52952,0.003714826563
Mexico,128613116,2020-05-07,42081,0.03271905798
Russia,145579889,2020-05-07,177160,0.121692633
United Kingdom,68179315,2020-05-08,198731,0.2914828346
United States,341534041,2020-05-08,1246244,0.3648959841
Japan,124997585,2020-05-08,15547,0.0124378403
China,1425179562,2020-05-08,84415,0.005923113287
Russia,145579889,2020-05-08,187859,0.1290418624
Mexico,128613116,2020-05-08,44470,0.03457656683
India,1425423209,2020-05-08,56342,0.003952650669
United Kingdom,68179315,2020-05-09,202518,0.2970373052
Japan,124997585,2020-05-09,15649,0.01251944188
United States,341534041,2020-05-09,1274796,0.3732559121
Russia,145579889,2020-05-09,198676,0.1364721469
China,1425179562,2020-05-09,84416,0.005923183454
India,1425423209,2020-05-09,59662,0.004185563952
Mexico,128613116,2020-05-09,47001,0.03654448431
India,1425423209,2020-05-10,62939,0.004415460588
Russia,145579889,2020-05-10,209688,0.1440363785
Mexico,128613116,2020-05-10,49531,0.03851162427
China,1425179562,2020-05-10,84430,0.005924165786
United States,341534041,2020-05-10,1303629,0.381698116
United Kingdom,68179315,2020-05-10,205582,0.3015313369
Japan,124997585,2020-05-10,15747,0.01259784339
United States,341534041,2020-05-11,1329546,0.389286525
Mexico,128613116,2020-05-11,51188,0.03979998432
India,1425423209,2020-05-11,67152,0.004711021932
China,1425179562,2020-05-11,84450,0.005925569118
Russia,145579889,2020-05-11,221344,0.152042979
United Kingdom,68179315,2020-05-11,207752,0.3047141204
Japan,124997585,2020-05-11,15798,0.01263864418
Mexico,128613116,2020-05-12,52740,0.04100670417
Russia,145579889,2020-05-12,232243,0.15952959
United Kingdom,68179315,2020-05-12,210089,0.3081418462
United States,341534041,2020-05-12,1350202,0.3953345312
India,1425423209,2020-05-12,70756,0.004963859123
Japan,124997585,2020-05-12,15874,0.01269944535
China,1425179562,2020-05-12,84451,0.005925639284
United States,341534041,2020-05-13,1370152,0.4011758231
Russia,145579889,2020-05-13,242271,0.1664179041
India,1425423209,2020-05-13,74281,0.0052111541
Mexico,128613116,2020-05-13,55858,0.04343102923
United Kingdom,68179315,2020-05-13,213701,0.3134396407
Japan,124997585,2020-05-13,16024,0.01281944767
China,1425179562,2020-05-13,84458,0.005926130451
India,1425423209,2020-05-14,78003,0.005472269534
China,1425179562,2020-05-14,84464,0.00592655145
Russia,145579889,2020-05-14,252245,0.1732691251
United Kingdom,68179315,2020-05-14,217111,0.3184411577
Japan,124997585,2020-05-14,16079,0.01286344852
Mexico,128613116,2020-05-14,58928,0.04581803305
United States,341534041,2020-05-14,1394054,0.408174247
India,1425423209,2020-05-15,81970,0.005750572846
Russia,145579889,2020-05-15,262843,0.1805489768
United Kingdom,68179315,2020-05-15,220441,0.323325337
China,1425179562,2020-05-15,84469,0.005926902283
Japan,124997585,2020-05-15,16193,0.01295465028
United States,341534041,2020-05-15,1411390,0.4132501685
Mexico,128613116,2020-05-15,62158,0.04832944099
Mexico,128613116,2020-05-16,65375,0.05083074109
United States,341534041,2020-05-16,1446033,0.4233935205
United Kingdom,68179315,2020-05-16,223071,0.327182812
Japan,124997585,2020-05-16,16237,0.01298985096
China,1425179562,2020-05-16,84478,0.005927533783
India,1425423209,2020-05-16,85940,0.006029086622
Russia,145579889,2020-05-16,272043,0.186868531
Russia,145579889,2020-05-17,281752,0.1935377214
China,1425179562,2020-05-17,84484,0.005927954782
United States,341534041,2020-05-17,1472661,0.4311901079
India,1425423209,2020-05-17,90927,0.006378947629
Mexico,128613116,2020-05-17,69069,0.05370292094
Japan,124997585,2020-05-17,16285,0.01302825171
United Kingdom,68179315,2020-05-17,225601,0.3308936149
Mexico,128613116,2020-05-18,71339,0.05546790422
United States,341534041,2020-05-18,1498742,0.4388265356
China,1425179562,2020-05-18,84494,0.005928656448
Russia,145579889,2020-05-18,290678,0.1996690628
